"SOURCE" "TRAJ" "subj" "language" "stimulus" "iter" "cluster" "C1_GONS..ms." "C1_PVEL..ms." "C1_NONS..ms." "C1_MAXC..ms." "C1_NOFFS..ms." "C1_PVEL2..ms." "C1_GOFFS..ms." "C2_GONS..ms." "C2_PVEL..ms." "C2_NONS..ms." "C2_MAXC..ms." "C2_NOFFS..ms." "C2_PVEL2..ms." "C2_GOFFS..ms." "C1_PV_to" "C2_PV_to" "C1stiffness1" "C2stiffness1" "C1_PV_fro" "C2_PV_fro" "C1stiffness2" "C2stiffness2" "C1_AV_to" "C2_AV_to" "C1_AV_fro" "C2_AV_fro" "C2onset_C1release" "rel.overlap" "C2onset_C1offset" "n.overlap2" "onset.lag" "n.onset.lag" "offset.lag" "n.offset.lag" "IPI" "n.IPI" "C1_pla" "C2_pla" "n.C1_pla" "n.C2_pla" "C1_gest" "C2_gest" "n.C1_gest" "n.C2_gest" "clus_gest" "C1_to" "C1_fro" "C2_to" "C2_fro" "vowel" "C1_PD" "C1_PD2" "C2_PD" "C2_PD2" "articulator" "type" "voicing" "pros_cond" "C2target_C1offset" "recstiffmean" "recstiffmean2" "C1onset_C2target" "recC1stiffness2" "recC2stiffness1"
"33" "blasen_w_11" "LA" "DE1" "German" "blasen" 11 "bl" 1488 1528 1556 1596 1640 1720 1796 1644 1668 1704 1720 1736 1792 1820 41.851 12.772 22.5005376344086 25.417229986724 23.393 14.735 11.0344339622642 16.3884163134435 0.273529411764706 0.0837489635093407 0.135897435897436 0.107036984728519 -4 -0.0476190476190476 0.152 0.457831325301205 -156 -0.469879518072289 24 0.072289156626506 64 0.355555555555556 84 32 0.466666666666667 0.177777777777778 308 176 0.927710843373494 0.530120481927711 332 68 156 60 84 "a" 18.6 21.2 5.02493781056044 8.99110671719561 "LAB" "LA-TT" "voiced" "N" 92 0.0649843955361102 0.041893386393618 216 0.090625400760911 0.0393433903113094
"45" "gleite_u_01" "TB_YZ" "DE1" "German" "gleite" 1 "gl" 3488 3532 3564 3624 3652 3696 3744 3648 3668 3680 3688 3724 3748 3796 19.363 11.916 18.9897227232646 37.2739181016135 17.78 15.414 15.3071236485092 21.1967672655843 0.134165369080057 0.0999022960196611 0.126255509528101 0.100998105348321 4 0.0454545454545455 0.096 0.311688311688312 -160 -0.519480519480519 52 0.168831168831169 28 0.175 88 44 0.55 0.275 256 148 0.831168831168831 0.480519480519481 308 76 92 32 72 "ai" 10.1965680500843 11.6155068765853 3.19687347262916 7.27186358507914 "VEL" "TB-TT" "voiced" "Y" 64 0.0460787355991228 0.0397442372076924 192 0.0653290600482862 0.0268284111499594
"46" "gleite_u_02" "TB_YZ" "DE1" "German" "gleite" 2 "gl" 3236 3316 3348 3384 3436 3492 3552 3396 3432 3456 3464 3472 3532 3568 12.598 10.752 14.3075974312194 23.390500092078 19.265 13.999 14.0620437956204 13.6137371305923 0.0786170727810001 0.0766122995637413 0.118103448275862 0.107114538254877 40 0.454545454545455 0.156 0.469879518072289 -160 -0.481927710843373 16 0.0481927710843374 20 0.161290322580645 88 16 0.709677419354839 0.129032258064516 316 172 0.951807228915663 0.518072289156627 332 112 116 60 96 "ai" 8.80511215147201 13.7 4.59673797382448 10.2829956724682 "VEL" "TB-TT" "voiced" "Y" 96 0.0569329087129388 0.0563226679495213 220 0.0711134181157541 0.0427523993101235
"47" "gleite_u_03" "TB_YZ" "DE1" "German" "gleite" 3 "gl" 3496 3532 3564 3604 3676 3716 3796 3580 3604 3664 3672 3688 3760 3804 21.291 8.157 20.448496793738 15.2075947630643 14.96 13.613 11.9664683900628 11.6490924102952 0.153117827845592 0.0638543730090661 0.104179999146776 0.100740421779252 96 0.857142857142857 0.216 0.701298701298701 -84 -0.272727272727273 8 0.025974025974026 -12 -0.0967741935483871 112 24 0.903225806451613 0.193548387096774 300 224 0.974025974025974 0.727272727272727 308 68 120 84 116 "ai" 10.4120122935002 12.5015998976131 5.36376733276156 11.6858889263932 "VEL" "TB-TT" "voiced" "Y" 132 0.0746617311330248 0.0573299841210128 168 0.083566844235382 0.0657566180306676
"48" "gleite_u_04" "TB_YZ" "DE1" "German" "gleite" 4 "gl" 2780 2828 2856 2868 2956 3004 3052 2908 2952 2968 2976 2984 3024 3028 14.934 9.517 18.8495107649441 21.3501600856278 20.137 11.608 15.2548652821852 29.0745660149656 0.104246737461986 0.0742929636267422 0.137503945650459 0.0907384762621688 48 0.48 0.144 0.580645161290323 -128 -0.516129032258065 -24 -0.0967741935483871 12 0.09375 100 16 0.78125 0.125 272 120 1.09677419354839 0.483870967741935 248 76 96 60 44 "ai" 7.9227520471109 13.2003787824441 4.45757781760453 3.99249295553543 "VEL" "TB-TT" "voiced" "Y" 84 0.0561954565689727 0.0499449155424566 188 0.0655528568428468 0.0468380562950985
"49" "gleite_u_05" "TB_YZ" "DE1" "German" "gleite" 5 "gl" 3412 3448 3480 3496 3532 3580 3636 3524 3544 3560 3564 3572 3584 3592 18.774 11.171 20.2622030790527 33.960839821842 20.588 9.484 15.4153451636163 55.4061195964598 0.136257757469394 0.0913715789077696 0.128418492327225 0.0855862138431184 8 0.153846153846154 0.112 0.622222222222222 -112 -0.622222222222222 -44 -0.244444444444444 28 0.304347826086957 52 12 0.565217391304348 0.130434782608696 224 68 1.24444444444444 0.377777777777778 180 68 104 36 20 "ai" 9.2655275079188 13.3555232020314 3.28937684067971 1.71172427686237 "VEL" "TB-TT" "voiced" "Y" 76 0.0471580524274205 0.039399327127712 148 0.0648704255004439 0.0294456793543971
"50" "gleite_u_06" "TB_YZ" "DE1" "German" "gleite" 6 "gl" 2628 2724 2772 2828 2880 2924 2984 2860 2904 2916 2924 2936 2964 3004 13.666 9.624 10.1508499661104 26.0775664387158 19.316 12.958 15.1625175516847 18.7560878586659 0.0934924445683074 0.0659022931687355 0.122493358110002 0.101598384996564 20 0.185185185185185 0.124 0.329787234042553 -232 -0.617021276595745 20 0.0531914893617021 36 0.219512195121951 108 20 0.658536585365854 0.121951219512195 356 144 0.946808510638298 0.382978723404255 376 144 104 56 68 "ai" 13.4629120178363 12.7393092434402 3.69052841744919 6.90869017976635 "VEL" "TB-TT" "voiced" "Y" 68 0.0521496224144838 0.0684305271948809 288 0.0659521083218064 0.0383471365071612
"51" "gleite_u_07" "TB_YZ" "DE1" "German" "gleite" 7 "gl" 2200 2260 2340 2388 2472 2520 2572 2420 2464 2484 2492 2500 2580 2620 15.452 12.303 12.1533735017457 23.5466810148094 22.991 11.601 15.4270746902459 10.3358125598918 0.0908154666320217 0.0816396904850821 0.149030198282093 0.0935340104513386 52 0.393939393939394 0.152 0.361904761904762 -220 -0.523809523809524 48 0.114285714285714 12 0.075 132 16 0.825 0.1 372 200 0.885714285714286 0.476190476190476 420 140 100 64 120 "ai" 12.714165328483 14.9030198282093 5.22494019104525 11.2240812541606 "VEL" "TB-TT" "voiced" "Y" 88 0.0536449667284047 0.0623752555833544 284 0.0648211031630171 0.0424688302937922
"52" "gleite_u_08" "TB_YZ" "DE1" "German" "gleite" 8 "gl" 3332.3 3372 3400 3432 3508 3544 3596 3412 3456 3500 3508 3520 3596 3624 13.802 4.85 22.4787081101737 13.3390841103002 18.133 12.94 17.1058425835708 12.2391772311313 0.0906947204313666 0.0413174067334042 0.120459905541119 0.101659674154074 96 0.888888888888889 0.184 0.630785053136785 -79.6999999999998 -0.273225917038052 28 0.0959890298251629 -8 -0.0666666666666667 108 20 0.9 0.166666666666667 263.7 212 0.904010970174837 0.726774082961948 291.7 67.6999999999998 88 88 104 "ai" 6.1400325732035 10.6004716876184 3.63593179253957 10.5726061120237 "VEL" "TB-TT" "voiced" "Y" 96 0.0667136120106075 0.0597271040807385 167.7 0.0584595581956567 0.0749676658255583
"53" "gleite_u_09" "TB_YZ" "DE1" "German" "gleite" 9 "gl" 2820 2864 2896 2952 3016 3052 3100 2952 3008 3020 3028 3040 3112 3140 21.581 7.174 19.0915031223242 21.689658358478 20.665 11.844 17.3907399613204 12.3015130492542 0.148736599992353 0.0486406923780624 0.141461435976314 0.0962808392152873 64 0.533333333333333 0.148 0.4625 -132 -0.4125 40 0.125 4 0.0277777777777778 120 20 0.833333333333333 0.138888888888889 280 188 0.875 0.5875 320 76 84 68 100 "ai" 11.3039815994189 11.8827606220104 3.30756708170824 9.62808392152873 "VEL" "TB-TT" "voiced" "Y" 80 0.0518033938744048 0.0492421221174597 200 0.0575018660634423 0.0461049216853673
